iter	RMSE
0	1.510873898
1	1.44472995
2	1.381832536
3	1.323054089
4	1.267701204
5	1.215226168
6	1.165309494
7	1.118486687
8	1.075008808
9	1.034764341
10	0.9964398592
11	0.9600045539
12	0.9270121779
13	0.8965589511
14	0.8682688206
15	0.8390172252
16	0.8145096948
17	0.7904835673
18	0.767753447
19	0.747099843
20	0.7267210587
21	0.7077646774
22	0.6918728776
23	0.6763901528
24	0.6619927642
25	0.647770251
26	0.6343870953
27	0.6229690232
28	0.6127459416
29	0.6010545638
30	0.5901230574
31	0.5810211997
32	0.5725592439
33	0.5648309174
34	0.5582212935
35	0.5490827129
36	0.5430324294
37	0.5369783061
38	0.529041026
39	0.5244352419
40	0.518969305
41	0.5137840396
42	0.509497539
43	0.504111108
44	0.5005345124
45	0.4944691214
46	0.4898816901
47	0.4865034011
48	0.4834396758
49	0.480635064
50	0.4777668353
51	0.4754763811
52	0.4723945623
53	0.4701737124
54	0.4681432191
55	0.4652296986
56	0.4604650955
57	0.457148673
58	0.4547249148
59	0.4529650898
60	0.4508147475
61	0.4492721127
62	0.4472358892
63	0.4451368843
64	0.442723752
65	0.441102958
66	0.4396676037
67	0.4358657434
68	0.4322722992
69	0.4290748498
70	0.4259745825
71	0.4239367284
72	0.4214283813
73	0.4199075087
74	0.4186123375
75	0.4175964783
76	0.4151199249
77	0.4131851818
78	0.4120072944
79	0.4108204707
80	0.4097860237
81	0.4075021711
82	0.4055349511
83	0.4045660421
84	0.4034847331
85	0.4024070891
86	0.4008559271
87	0.3997391942
88	0.3984338928
89	0.3971113489
90	0.3954800758
91	0.39435
92	0.3924390484
93	0.3913302104
94	0.3902113424
95	0.3892838298
96	0.3886874684
97	0.3874216593
98	0.3865755778
99	0.3854622127
100	0.3842951815
101	0.3833042807
102	0.3820890178
103	0.3803938803
104	0.3791175258
105	0.3777606165
106	0.3766368858
107	0.3758601128
108	0.3751864878
109	0.3740014762
110	0.373210894
111	0.3720990717
112	0.3715534286
113	0.3706915844
114	0.370119671
115	0.3693799257
116	0.3689856334
117	0.3683081057
118	0.3677851301
119	0.3670524399
120	0.366413515
121	0.3655932897
122	0.3646363482
123	0.3636084156
124	0.3631006531
125	0.362217771
126	0.3613438503
127	0.3606195202
128	0.3600881755
129	0.3590812345
130	0.3580133163
131	0.3573923288
132	0.3567196467
133	0.3560796633
134	0.3554982616
135	0.3547532431
136	0.3538368544
137	0.3530374391
138	0.3526241183
139	0.3521881521
140	0.3516560869
141	0.351160152
142	0.3504169998
143	0.3498161757
