iter	Passed	Remaining
0	7	7625
1	16	8236
2	23	7758
3	30	7510
4	38	7742
5	45	7604
6	53	7604
7	61	7659
8	68	7521
9	75	7446
10	81	7353
11	87	7234
12	94	7205
13	101	7179
14	108	7151
15	115	7132
16	122	7109
17	130	7108
18	138	7133
19	146	7180
20	155	7237
21	162	7219
22	168	7143
23	175	7126
24	181	7096
25	188	7066
26	196	7066
27	202	7046
28	210	7034
29	216	6993
30	223	7000
31	230	6987
32	238	6978
33	245	6972
34	252	6949
35	258	6932
36	265	6901
37	272	6887
38	279	6875
39	286	6876
40	293	6871
41	300	6863
42	308	6870
43	316	6872
44	324	6889
45	332	6894
46	340	6909
47	348	6920
48	356	6912
49	362	6888
50	369	6869
51	376	6858
52	384	6862
53	394	6908
54	403	6941
55	414	6990
56	427	7076
57	435	7081
58	444	7084
59	452	7085
60	459	7077
61	466	7062
62	474	7063
63	484	7079
64	491	7071
65	504	7134
66	511	7121
67	519	7124
68	527	7112
69	535	7109
70	543	7117
71	553	7132
72	561	7127
73	568	7112
74	575	7099
75	582	7083
76	590	7073
77	596	7045
78	603	7036
79	609	7012
80	618	7012
81	624	6995
82	631	6975
83	639	6971
84	647	6969
85	654	6954
86	659	6921
87	665	6897
88	671	6870
89	676	6841
90	682	6820
91	689	6804
92	695	6782
93	701	6764
94	707	6742
95	713	6722
96	720	6707
97	726	6682
98	731	6659
99	737	6634
100	743	6613
101	749	6599
102	756	6588
103	763	6577
104	769	6562
105	776	6547
106	782	6533
107	788	6510
108	794	6494
109	802	6492
110	809	6480
111	816	6472
112	823	6464
113	830	6456
114	838	6452
115	845	6444
116	852	6434
117	859	6421
118	867	6422
119	874	6410
120	881	6401
121	887	6389
122	898	6405
123	907	6409
124	916	6413
125	923	6402
126	932	6408
127	938	6395
128	946	6389
129	952	6376
130	960	6371
131	967	6363
132	976	6364
133	984	6360
134	993	6363
135	1000	6353
136	1007	6348
137	1014	6337
138	1021	6328
139	1027	6314
140	1033	6298
141	1041	6295
142	1048	6282
143	1055	6272
144	1062	6263
145	1068	6250
146	1076	6245
147	1084	6244
148	1091	6236
149	1098	6223
150	1106	6220
151	1112	6206
152	1120	6202
153	1128	6197
154	1137	6199
155	1143	6188
156	1151	6180
157	1157	6169
158	1165	6162
159	1173	6160
160	1180	6151
161	1187	6144
162	1194	6131
163	1201	6122
164	1208	6113
165	1214	6103
166	1221	6093
167	1227	6080
168	1235	6072
169	1241	6061
170	1248	6050
171	1254	6039
172	1261	6031
173	1269	6025
174	1276	6019
175	1286	6022
176	1294	6019
177	1302	6013
178	1310	6008
179	1317	6002
180	1324	5992
181	1332	5987
182	1338	5977
183	1345	5968
184	1352	5959
185	1359	5950
186	1367	5947
187	1375	5939
188	1381	5930
189	1388	5920
190	1395	5911
191	1403	5906
192	1410	5898
193	1418	5891
194	1425	5883
195	1432	5875
196	1440	5869
197	1447	5863
198	1455	5857
199	1463	5854
200	1471	5849
201	1480	5848
202	1488	5843
203	1496	5837
204	1502	5828
205	1509	5818
206	1516	5810
207	1523	5802
208	1532	5799
209	1540	5794
210	1548	5790
211	1554	5777
212	1561	5768
213	1566	5755
214	1574	5749
215	1583	5745
216	1590	5739
217	1597	5729
218	1605	5725
219	1611	5714
220	1622	5719
221	1630	5715
222	1638	5708
223	1645	5700
224	1652	5690
225	1659	5681
226	1666	5674
227	1674	5668
228	1682	5663
229	1689	5656
230	1696	5648
231	1705	5644
232	1712	5637
233	1719	5630
234	1726	5620
235	1733	5610
236	1740	5603
237	1747	5594
238	1755	5589
239	1761	5579
240	1768	5570
241	1773	5556
242	1781	5549
243	1788	5542
244	1796	5537
245	1805	5533
246	1812	5527
247	1820	5521
248	1829	5518
249	1836	5509
250	1843	5502
251	1851	5495
252	1858	5486
253	1865	5479
254	1872	5470
255	1879	5463
256	1887	5457
257	1895	5451
258	1902	5442
259	1909	5435
260	1917	5429
261	1924	5422
262	1931	5413
263	1938	5404
264	1945	5395
265	1952	5386
266	1959	5380
267	1966	5371
268	1973	5363
269	1980	5354
270	1987	5346
271	1994	5339
272	2002	5331
273	2008	5322
274	2015	5314
275	2022	5306
276	2029	5296
277	2037	5290
278	2046	5287
279	2054	5284
280	2062	5277
281	2069	5269
282	2076	5261
283	2083	5251
284	2090	5243
285	2097	5237
286	2105	5230
287	2113	5224
288	2120	5217
289	2128	5210
290	2136	5205
291	2142	5195
292	2149	5185
293	2156	5177
294	2162	5169
295	2169	5160
296	2177	5153
297	2185	5147
298	2191	5137
299	2198	5129
300	2205	5121
